,Conversation_ID,Line_ID,Text
Maggie_intro_0,0,0,This is conversation A with Maggie!
Maggie_intro_1,0,1,This conversation happens when the player meets Maggie for the first time.
Maggie_intro_2,0,2,/UNIQUE
Maggie_intro_3,0,3,/DONE
Maggie_A0_0,1,0,This is conversation A0 with Maggie!
Maggie_A0_1,1,1,The player gets their first quest from Maggie.
Maggie_A0_2,1,2,/QUEST QuantityA
Maggie_A0_3,1,3,/DONE
Maggie_A1_0,2,0,This is conversation A1 with Maggie!
Maggie_A1_1,2,1,Maggie congratulates the player for completing the first quest.
Maggie_A1_2,2,2,/UNIQUE
Maggie_A1_3,2,3,/DONE
Maggie_B0_0,3,0,This is conversation B0 with Maggie!
Maggie_B0_1,3,1,The player gets their second quest from Maggie.
Maggie_B0_2,3,2,/QUEST QuantityB
Maggie_B0_3,3,3,/DONE
Maggie_B1_0,4,0,This is conversation B1 with Maggie!
Maggie_B1_1,4,1,Maggie congratulates the player for completing the second quest.
Maggie_B1_2,4,2,/UNIQUE
Maggie_B1_3,4,3,/DONE
Maggie_C0_0,5,0,This is conversation C0 with Maggie!
Maggie_C0_1,5,1,The player gets their third quest from Maggie.
Maggie_C0_2,5,2,/QUEST QuantityC
Maggie_C0_3,5,3,/DONE
Maggie_C1_0,6,0,This is conversation C1 with Maggie!
Maggie_C1_1,6,1,Maggie congratulates the player for completing the third quest.
Maggie_C1_2,6,2,/UNIQUE
Maggie_C1_3,6,3,/DONE
Maggie_final_0,7,0,This is the final conversation with Maggie!
Maggie_final_1,7,1,This conversation happens after the player has completed all of Maggie's quests.
Maggie_final_2,7,2,/DONE
