,Conversation_ID,Line_ID,Text
Suzy_intro_0,0,0,This is conversation A with Suzy!
Suzy_intro_1,0,1,This conversation happens when the player meets Suzy for the first time.
Suzy_intro_2,0,2,/UNIQUE
Suzy_intro_3,0,3,/DONE
Suzy_A0_0,1,0,This is conversation A0 with Suzy!
Suzy_A0_1,1,1,The player gets their first quest from Suzy.
Suzy_A0_2,1,2,/QUEST SizeA
Suzy_A0_3,1,3,/DONE
Suzy_A1_0,2,0,This is conversation A1 with Suzy!
Suzy_A1_1,2,1,Suzy congratulates the player for completing the first quest.
Suzy_A1_2,2,2,/UNIQUE
Suzy_A1_3,2,3,/DONE
Suzy_B0_0,3,0,This is conversation B0 with Suzy!
Suzy_B0_1,3,1,The player gets their second quest from Suzy.
Suzy_B0_2,3,2,/QUEST SizeB
Suzy_B0_3,3,3,/DONE
Suzy_B1_0,4,0,This is conversation B1 with Suzy!
Suzy_B1_1,4,1,Suzy congratulates the player for completing the second quest.
Suzy_B1_2,4,2,/UNIQUE
Suzy_B1_3,4,3,/DONE
Suzy_C0_0,5,0,This is conversation C0 with Suzy!
Suzy_C0_1,5,1,The player gets their third quest from Suzy.
Suzy_C0_2,5,2,/QUEST SizeC
Suzy_C0_3,5,3,/DONE
Suzy_C1_0,6,0,This is conversation C1 with Suzy!
Suzy_C1_1,6,1,Suzy congratulates the player for completing the third quest.
Suzy_C1_2,6,2,/UNIQUE
Suzy_C1_3,6,3,/DONE
Suzy_final_0,7,0,This is the final conversation with Suzy!
Suzy_final_1,7,1,This conversation happens after the player has completed all of Suzy's quests.
Suzy_final_2,7,2,/DONE
